time,x,y,z
14:14.5,1.5354,4.019,9.0253
14:14.5,1.7229,4.1624,9.1066
14:14.5,1.5237,4.0769,8.3095
14:14.5,1.3867,4.1007,8.7249
14:14.6,1.7329,4.3377,8.7737
14:14.6,1.7675,4.4618,8.7108
14:14.6,1.0005,3.7781,8.3884
14:14.6,0.2266,3.0228,8.9432
14:14.6,0.1572,2.7507,9.9419
14:14.7,0.7384,2.5625,10.3915
14:14.7,0.7922,2.2594,10.1779
14:14.7,0.0223,1.8681,10.0091
14:14.7,0.2543,1.5354,10.1969
14:14.7,1.0861,1.4681,11.3974
14:14.8,1.6821,3.5662,12.969
14:14.8,0.901,1.5982,9.9392
14:14.8,0.3296,1.3896,7.3612
14:14.8,0.046,2.5836,7.3874
14:14.9,0.5583,3.4214,7.8402
14:14.9,0.6073,5.13,7.3341
14:14.9,1.6569,6.2187,7.018
14:14.9,0.8688,4.8462,12.5852
14:14.9,0.4946,4.1765,12.2168
14:15.0,-0.3346,3.7034,9.3668
14:15.0,0.1575,2.7392,8.723
14:15.0,0.9591,3.4816,7.7495
14:15.0,1.0635,3.7114,8.3134
14:15.0,0.3919,2.6532,8.9333
14:15.1,0.2964,2.8706,8.3377
14:15.1,0.1861,3.0649,7.9037
14:15.1,0.1997,2.3859,8.5462
14:15.1,0.1623,1.75,10.1264
14:15.1,-0.5591,0.7887,10.4001
14:15.2,-0.6094,1.7883,8.7291
14:15.2,0.025,3.0132,9.5774
14:15.2,0.7405,4.1697,8.947
14:15.2,1.1529,4.4181,7.9646
14:15.2,1.206,4.5279,8.6745
14:15.3,0.8887,3.9361,9.7949
14:15.3,0.6407,4.1311,10.6462
14:15.3,1.8837,4.4208,9.1904
14:15.3,2.4154,4.1606,5.1363
14:15.3,1.2288,4.1438,6.4734
14:15.4,-0.7079,3.2279,8.8521
14:15.4,-1.4669,3.2075,9.3807
14:15.4,0.4416,3.6777,7.7272
14:15.4,2.8106,3.2738,6.2995
14:15.4,4.3169,3.5162,5.8696
14:15.5,3.2544,2.4715,6.2851
14:15.5,0.9236,1.8436,7.1128
14:15.5,-0.1257,1.9328,9.074
14:15.5,0.6041,2.2393,9.9024
14:15.5,1.7054,2.0061,9.6911
14:15.6,1.3939,1.5024,9.1897
14:15.6,0.1765,0.7655,9.2521
14:15.6,-0.5185,0.6525,10.9252
14:15.6,-0.7314,0.699,12.4484
14:15.6,-1.0194,-0.0527,13.2165
14:15.7,-0.9924,-0.222,13.1449
14:15.7,-1.202,-0.2609,10.0414
14:15.7,0.5423,0.3805,4.7159
14:15.7,-6.2311,0.7393,9.9669
14:15.7,-4.6888,1.5791,8.2874
14:15.8,-1.0984,1.8043,7.6943
14:15.8,3.9187,1.9204,5.4494
14:15.8,4.1801,3.1906,4.1323
14:15.8,6.2179,4.8152,5.9599
14:15.8,6.6632,4.0386,6.5977
14:15.9,6.7406,1.8885,6.9403
14:15.9,6.3901,0.7079,9.3365
14:15.9,5.7169,-0.2603,9.6153
14:15.9,6.9012,0.699,10.0744
14:15.9,7.1231,1.3785,8.6974
14:16.0,8.5891,1.7017,9.4138
14:16.0,8.6731,-1.1569,10.9211
14:16.0,7.3946,-2.9987,10.5325
14:16.0,9.215,-1.1287,9.8527
14:16.0,10.2442,0.2429,8.4956
14:16.1,10.8247,2.5937,7.3108
14:16.1,10.637,3.6481,6.6071
14:16.1,8.3752,3.2574,5.8091
14:16.1,6.9373,3.3352,5.5683
14:16.1,7.6415,5.4648,6.7483
14:16.2,8.9228,6.4007,6.501
14:16.2,10.2001,6.4504,6.4887
14:16.2,9.6425,6.273,5.7227
14:16.2,9.303,7.1476,5.2419
14:16.2,9.1707,8.8881,5.2276
14:16.3,8.8093,9.0651,4.3275
14:16.3,8.2992,7.9398,3.6723
14:16.3,7.1427,7.0792,2.8282
14:16.3,6.8442,6.4193,2.1346
14:16.3,5.6731,5.8965,1.0299
14:16.4,6.2528,5.1559,0.2221
14:16.4,7.3768,3.3231,-0.5524
14:16.4,7.291,3.0948,-2.7212
14:16.4,7.4232,0.3492,0.6109
14:16.4,7.8913,0.5004,5.006
14:16.5,8.2713,2.6543,6.868
14:16.5,8.1914,4.4041,5.9268
14:16.5,6.5688,8.2059,3.4131
14:16.5,5.3437,11.6224,3.3955
14:16.5,4.1512,9.328,3.4394
14:16.6,4.7977,6.1086,2.7875
14:16.6,9.0219,7.4109,1.8214
14:16.6,12.6532,9.6817,0.4618
14:16.6,13.7407,10.0494,-3.1477
14:16.6,13.301,8.5746,-2.333
14:16.7,10.1526,5.4006,-0.1352
14:16.7,8.6147,2.3139,1.2257
14:16.7,8.7107,1.3331,1.0174
14:16.7,3.4611,2.7005,-1.884
14:16.7,3.8873,6.0634,-1.3451
14:16.8,6.2461,5.9399,-0.3669
14:16.8,7.5991,3.9606,-0.223
14:16.8,11.0108,4.7258,1.0102
14:16.8,10.3977,6.7938,-1.5511
14:16.8,8.6147,6.918,-0.9676
14:16.9,9.0208,6.2294,-0.739
14:16.9,5.9816,5.1385,-2.1434
14:16.9,4.492,4.3748,1.4126
14:16.9,3.0504,4.7056,0.4652
14:16.9,1.4646,7.0238,-1.0237
14:17.0,1.8496,10.0517,-1.3744
14:17.0,5.1848,10.1249,-0.9622
14:17.0,7.7076,10.7629,0.2965
14:17.0,9.6578,11.469,2.9812
14:17.0,7.4535,10.5706,1.8828
14:17.1,5.1289,8.4549,0.7453
14:17.1,4.0901,6.9578,0.4645
14:17.1,5.6656,7.5986,0.0039
14:17.1,3.5906,6.4859,-0.7968
14:17.1,0.9933,5.2186,-0.9998
14:17.2,1.9605,5.9543,0.7344
14:17.2,7.6253,9.4778,4.6291
14:17.2,8.2902,10.9506,3.1686
14:17.2,4.0557,9.1216,0.926
14:17.2,-2.7417,5.3695,-0.4738
14:17.3,-3.3454,4.1088,-3.4842
14:17.3,1.6494,5.8715,-2.7809
14:17.3,4.17,6.7053,-2.5083
14:17.3,0.6856,5.3216,-4.3097
14:17.3,1.2453,5.7497,-2.4865
14:17.4,1.1379,5.6332,-1.5262
14:17.4,2.0165,9.2091,-3.7202
14:17.4,4.9801,23.959,-4.7002
14:17.4,1.3218,36.2823,-1.8864
14:17.4,-5.6958,15.626,5.0944
14:17.5,-1.6268,6.2538,0.9673
14:17.5,-0.5968,4.7679,-2.7781
14:17.5,-0.1208,5.2852,-4.4835
14:17.5,-0.3624,7.0289,-5.0935
14:17.5,-1.5469,9.1771,-2.1341
14:17.6,-3.3261,10.6125,3.2635
14:17.6,-3.3988,11.0882,-0.0147
14:17.6,-2.7296,10.1925,-3.5115
14:17.6,-1.4445,10.6072,-2.4732
14:17.6,1.1767,11.9142,-2.0308
14:17.7,3.6039,12.7234,-2.2425
14:17.7,3.9557,13.0081,-1.3173
14:17.7,2.1522,13.1217,0.5917
14:17.7,1.7967,13.9118,0.157
14:17.7,2.3176,14.4342,-1.1622
14:17.8,3.4523,12.9196,-1.6069
14:17.8,3.8998,9.529,-0.8508
14:17.8,2.4591,7.7609,1.4738
14:17.8,1.4252,10.7167,4.0762
14:17.8,1.2207,16.5602,6.5218
14:17.9,0.3971,16.959,2.7417
14:17.9,-0.3419,15.5214,-3.8576
14:17.9,-1.8026,14.1146,-10.3501
14:17.9,-3.3707,11.8339,-8.1223
14:17.9,-1.7042,11.2045,-0.1783
14:18.0,-1.0808,10.9931,1.1442
14:18.0,-1.7491,9.3889,-0.6534
14:18.0,-2.3733,7.218,-3.074
14:18.0,-3.1077,4.9875,-3.0575
14:18.0,-4.4297,2.8426,-2.361
14:18.1,-5.2446,1.4164,-0.583
14:18.1,-4.7823,0.8763,0.6238
14:18.1,-2.9373,1.7391,1.7015
14:18.1,-0.8564,3.1134,2.5049
14:18.1,0.4525,3.098,3.2741
14:18.2,3.2511,5.512,4.2193
14:18.2,6.82,11.21,5.6427
14:18.2,9.9935,18.2465,5.5059
14:18.2,9.0258,24.2139,2.0579
14:18.2,3.0369,17.151,4.7622
14:18.3,0.8466,9.2578,7.0393
14:18.3,0.6799,5.5358,-0.1849
14:18.3,-1.2309,6.977,-8.2751
14:18.3,-6.0289,6.7439,1.3517
14:18.3,-7.249,11.9351,12.1606
14:18.4,-5.7177,11.3587,-7.1696
14:18.4,-5.7943,6.6544,-5.6995
14:18.4,-5.1647,5.6211,-4.3302
